Case,Inlet Velocity ,Density,Kinematic Viscosity ,Bifurcation Type,D1 (m),D2 (m),I (m),A1,A2,A3,Angle (X1),Angle (X2),Reynlods Number,Particle Density,Particle Diameter,D1/D2,I/D1,I/D2,SIx_1,SIy_1,SIz_1,Q1,SIx_2,SIy_2,SIz_2,Q2,Q1/Q2,V1,V2,,,,,,
52,0.3,1100,3.00E-06,1014,0.006,0.008,0.008,2.82744E-05,5.02656E-05,5.02656E-05,90,0,7.54E+02,1050,0.0006,0.75,1.333333333,1,3.44E-06,3.50E-06,-1.31E-09,4.90459E-06,7.05E-06,-7.29E-06,1.13E-09,1.01378E-05,0.483791354,0.173463806,0.201684859,,,,,,
53,0.3,1100,3.00E-06,1014,0.004,0.008,0.008,1.25664E-05,5.02656E-05,5.02656E-05,90,0,7.54E+02,1050,0.0006,0.5,2,1,1.46E-06,1.47E-06,5.82E-10,2.07406E-06,9.07E-06,-9.27E-06,3.78E-09,1.29628E-05,0.160000813,0.165048249,0.257886579,,,,,,
54,0.3,1100,3.00E-06,1014,0.002,0.008,0.008,3.1416E-06,5.02656E-05,5.02656E-05,90,0,7.54E+02,1050,0.0006,0.25,4,1,1.72E-07,1.73E-07,-1.41E-11,2.4379E-07,1.04E-05,-1.05E-05,-4.11E-09,1.47947E-05,0.016478153,0.077600612,0.294331433,,,,,,
55,0.3,1100,3.00E-06,1014,0.008,0.006,0.008,5.02656E-05,2.82744E-05,5.02656E-05,90,0,7.54E+02,1050,0.0006,1.333333333,1,1.333333333,7.14E-06,7.26E-06,3.03E-08,1.01832E-05,3.42E-06,-3.47E-06,-3.11E-08,4.87132E-06,2.090438436,0.202587943,0.172287467,,,,,,
56,0.3,1100,3.00E-06,1014,0.008,0.004,0.008,5.02656E-05,1.25664E-05,5.02656E-05,90,0,7.54E+02,1050,0.0006,2,1,2,9.20E-06,9.20E-06,-2.70E-09,1.301E-05,1.44E-06,-1.45E-06,-4.29E-09,2.04928E-06,6.348560917,0.258825012,0.163076335,,,,,,
57,0.3,1100,3.00E-06,1014,0.008,0.002,0.008,5.02656E-05,3.1416E-06,5.02656E-05,90,0,7.54E+02,1050,0.0006,4,1,4,1.04E-05,1.05E-05,-4.33E-09,1.47946E-05,1.75E-07,-1.72E-07,2.83E-10,2.4523E-07,60.32929216,0.294327571,0.078058949,,,,,,
58,0.3,1100,3.00E-06,1014,0.004,0.006,0.006,1.25664E-05,2.82744E-05,2.82744E-05,90,0,5.66E+02,1050,0.0006,0.666666667,1.5,1,1.48E-06,1.48E-06,-1.32E-08,2.09391E-06,4.50E-06,-4.48E-06,1.89E-08,6.35279E-06,0.329604105,0.166627365,0.224683509,,,,,,
59,0.3,1100,3.00E-06,1014,0.002,0.004,0.004,3.1416E-06,1.25664E-05,1.25664E-05,90,0,3.77E+02,1050,0.0006,0.5,2,1,2.79E-07,2.79E-07,1.33E-09,3.95091E-07,2.37E-06,-2.35E-06,2.51E-09,3.33811E-06,0.11835781,0.125761108,0.265637536,,,,,,
60,0.3,1100,3.00E-06,1014,0.002,0.0015,0.002,3.1416E-06,1.76715E-06,3.1416E-06,90,0,1.89E+02,1050,0.0006,1.333333333,1,1.333333333,1.75E-07,-1.77E-07,2.58E-09,2.48395E-07,4.83E-07,4.80E-07,-1.58E-09,6.80901E-07,0.364803341,0.079066344,0.385310038,,,,,,
61,0.3,1100,3.00E-06,1014,0.008,0.008,0.008,5.02656E-05,5.02656E-05,5.02656E-05,70,0,7.54E+02,1050,0.0006,1,1,1,6.12E-06,4.41E-06,-5.26E-09,7.53768E-06,6.06E-06,-4.45E-06,1.88E-08,7.52189E-06,1.002099156,0.149956989,0.149642865,,,,,,
62,0.3,1100,3.00E-06,1014,0.006,0.008,0.008,2.82744E-05,5.02656E-05,5.02656E-05,70,0,7.54E+02,1050,0.0006,0.75,1.333333333,1,3.92E-06,2.81E-06,7.25E-09,4.82428E-06,8.32E-06,-5.95E-06,-1.70E-08,1.02299E-05,0.471586053,0.170623778,0.203517204,,,,,,
63,0.3,1100,3.00E-06,1014,0.004,0.008,0.008,1.25664E-05,5.02656E-05,5.02656E-05,70,0,7.54E+02,1050,0.0006,0.5,2,1,1.56E-06,1.09E-06,4.54E-10,1.90476E-06,1.07E-05,-7.63E-06,5.62E-09,1.31438E-05,0.14491706,0.15157543,0.261486518,,,,,,
64,0.3,1100,3.00E-06,1014,0.002,0.008,0.008,3.1416E-06,5.02656E-05,5.02656E-05,70,0,7.54E+02,1050,0.0006,0.25,4,1,1.81E-07,1.30E-07,-2.19E-09,2.22846E-07,1.21E-05,-8.59E-06,-3.80E-09,1.48257E-05,0.015031031,0.070933898,0.29494774,,,,,,
65,0.3,1100,3.00E-06,1014,0.008,0.006,0.008,5.02656E-05,2.82744E-05,5.02656E-05,70,0,7.54E+02,1050,0.0006,1.333333333,1,1.333333333,8.36E-06,5.94E-06,1.67E-08,1.02555E-05,3.91E-06,-2.78E-06,1.91E-08,4.80234E-06,2.135532005,0.204027177,0.169847598,,,,,,
66,0.3,1100,3.00E-06,1014,0.008,0.004,0.008,5.02656E-05,1.25664E-05,5.02656E-05,70,0,7.54E+02,1050,0.0006,2,1,2,1.07E-05,7.63E-06,-4.31E-10,1.31515E-05,1.56E-06,-1.09E-06,-5.15E-09,1.89925E-06,6.924534592,0.261639243,0.151137518,,,,,,
67,0.3,1100,3.00E-06,1014,0.008,0.002,0.008,5.02656E-05,3.1416E-06,5.02656E-05,70,0,7.54E+02,1050,0.0006,4,1,4,1.21E-05,8.59E-06,6.51E-09,1.48242E-05,1.84E-07,-1.28E-07,9.99E-10,2.24221E-07,66.11426857,0.294917041,0.071371472,,,,,,
68,0.3,1100,3.00E-06,1014,0.004,0.006,0.006,1.25664E-05,2.82744E-05,2.82744E-05,70,0,5.66E+02,1050,0.0006,0.666666667,1.5,1,1.65E-06,1.18E-06,6.50E-09,2.02831E-06,5.26E-06,-3.70E-06,-3.51E-08,6.42626E-06,0.31562857,0.161407384,0.227281754,,,,,,
69,0.3,1100,3.00E-06,1014,0.004,0.006,0.006,1.25664E-05,2.82744E-05,2.82744E-05,70,0,5.66E+02,1050,0.0006,0.666666667,1.5,1,1.65E-06,1.18E-06,6.50E-09,2.02831E-06,5.26E-06,-3.70E-06,-3.51E-08,6.42626E-06,0.31562857,0.161407384,0.227281754,,,,,,
70,0.3,1100,3.00E-06,1014,0.002,0.0015,0.002,3.1416E-06,1.76715E-06,3.1416E-06,70,0,1.89E+02,1050,0.0006,1.333333333,1,1.333333333,5.62E-07,3.90E-07,3.64E-09,6.84322E-07,2.00E-07,-1.42E-07,-1.52E-09,2.45569E-07,2.786675372,0.217826051,0.138963554,,,,,,
71,0.3,1100,3.00E-06,1014,0.008,0.008,0.008,5.02656E-05,5.02656E-05,5.02656E-05,50,0,7.54E+02,1050,0.0006,1,1,1,6.78E-06,3.35E-06,2.07E-08,7.55955E-06,6.71E-06,-3.33E-06,1.26E-08,7.49587E-06,1.008496195,0.150392155,0.149125158,,,,,,
72,0.3,1100,3.00E-06,1014,0.006,0.008,0.008,2.82744E-05,5.02656E-05,5.02656E-05,50,0,7.54E+02,1050,0.0006,0.75,1.333333333,1,4.10E-06,1.98E-06,1.27E-08,4.55586E-06,9.43E-06,-4.61E-06,5.90E-10,1.0497E-05,0.434014342,0.161130312,0.208831349,,,,,,
73,0.3,1100,3.00E-06,1014,0.004,0.008,0.008,1.25664E-05,5.02656E-05,5.02656E-05,50,0,7.54E+02,1050,0.0006,0.5,2,1,1.59E-06,7.59E-07,-6.46E-09,1.75917E-06,1.20E-05,-5.76E-06,-5.33E-09,1.32921E-05,0.132346619,0.13998959,0.264437412,,,,,,
74,0.3,1100,3.00E-06,1014,0.002,0.008,0.008,3.1416E-06,5.02656E-05,5.02656E-05,50,0,7.54E+02,1050,0.0006,0.25,4,1,1.66E-07,7.74E-08,2.03E-09,1.83195E-07,1.34E-05,-6.41E-06,-2.61E-09,1.48651E-05,0.012323805,0.05831262,0.29573162,,,,,,
75,0.3,1100,3.00E-06,1014,0.008,0.006,0.008,5.02656E-05,2.82744E-05,5.02656E-05,50,0,7.54E+02,1050,0.0006,1.333333333,1,1.333333333,9.45E-06,4.61E-06,-1.43E-09,1.0517E-05,4.09E-06,-1.95E-06,-2.21E-09,4.53648E-06,2.318309782,0.209227746,0.160444665,,,,,,
76,0.3,1100,3.00E-06,1014,0.008,0.004,0.008,5.02656E-05,1.25664E-05,5.02656E-05,50,0,7.54E+02,1050,0.0006,2,1,2,1.20E-05,5.77E-06,-7.36E-09,1.33044E-05,1.59E-06,-7.32E-07,-6.22E-10,1.75193E-06,7.594134225,0.264681857,0.139413842,,,,,,
77,0.3,1100,3.00E-06,1014,0.008,0.002,0.008,5.02656E-05,3.1416E-06,5.02656E-05,50,0,7.54E+02,1050,0.0006,4,1,4,1.34E-05,6.41E-06,2.47E-09,1.48664E-05,1.67E-07,-7.60E-08,6.86E-10,1.8343E-07,81.04652789,0.295756001,0.0583874,,,,,,
78,0.3,1100,3.00E-06,1014,0.004,0.006,0.006,1.25664E-05,2.82744E-05,2.82744E-05,50,0,5.66E+02,1050,0.0006,0.666666667,1.5,1,1.68E-06,8.09E-07,-6.36E-09,1.86868E-06,5.94E-06,-2.83E-06,-2.70E-09,6.58045E-06,0.283974155,0.148704272,0.23273522,,,,,,
